model,version,location,page_url,url
cpe210,v1,au,https://www.tp-link.com/au/support/download/cpe210/v1/,https://static.tp-link.com/Pharos_v2.1.0_170609_for_CPE210_v1.1.zip
cpe210,v1,au,https://www.tp-link.com/au/support/download/cpe210/v1/,https://static.tp-link.com/TP_PharOS_2.0.0_170301-.zip
cpe210,v1,au,https://www.tp-link.com/au/support/download/cpe210/v1/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.3.3_160705.zip
cpe210,v1,en,https://www.tp-link.com/en/support/download/cpe210/v1/,https://static.tp-link.com/Pharos_v2.1.0_170609_for_CPE210_v1.1.zip
cpe210,v1,en,https://www.tp-link.com/en/support/download/cpe210/v1/,https://static.tp-link.com/TP_PharOS_2.0.0_170301-.zip
cpe210,v1,en,https://www.tp-link.com/en/support/download/cpe210/v1/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.3.3_160705.zip
cpe210,v1,us,https://www.tp-link.com/us/support/download/cpe210/v1/,https://static.tp-link.com/Pharos_v2.1.0_170609_for_CPE210_v1.1.zip
cpe210,v1,us,https://www.tp-link.com/us/support/download/cpe210/v1/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.3.3_160705.zip
cpe210,v1,us,https://www.tp-link.com/us/support/download/cpe210/v1/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.3.3_151215.zip
cpe210,v1,de,https://www.tp-link.com/de/support/download/cpe210/v1/,https://static.tp-link.com/Pharos_v2.1.0_170609_for_CPE210_v1.1.zip
cpe210,v1,de,https://www.tp-link.com/de/support/download/cpe210/v1/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.1.0_150401.zip
cpe210,v1,de,https://www.tp-link.com/de/support/download/cpe210/v1/,https://static.tp-link.com/resources/software/TP_PharOS_1.0.0_140709.zip
cpe210,v1,uk,https://www.tp-link.com/uk/support/download/cpe210/v1/,https://static.tp-link.com/Pharos_v2.1.0_170609_for_CPE210_v1.1.zip
cpe210,v1,uk,https://www.tp-link.com/uk/support/download/cpe210/v1/,https://static.tp-link.com/TP_PharOS_2.0.0_170301-.zip
cpe210,v1,uk,https://www.tp-link.com/uk/support/download/cpe210/v1/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.3.3_160705.zip
cpe210,v2,au,https://www.tp-link.com/au/support/download/cpe210/v2/,https://static.tp-link.com/2018/201810/20181029/CPE210(UN)_v2.0_20180928.zip
cpe210,v2,au,https://www.tp-link.com/au/support/download/cpe210/v2/,https://static.tp-link.com/2018/201802/20180213/CPE210(UN)_V2_180117.zip
cpe210,v2,au,https://www.tp-link.com/au/support/download/cpe210/v2/,https://static.tp-link.com/TP_Pharos_V2.0_170908_CPE210_v2.0.zip
cpe210,v2,en,https://www.tp-link.com/en/support/download/cpe210/v2/,https://static.tp-link.com/2018/201810/20181029/CPE210(UN)_v2.0_20180928.zip
cpe210,v2,en,https://www.tp-link.com/en/support/download/cpe210/v2/,https://static.tp-link.com/2018/201802/20180213/CPE210(UN)_V2_180117.zip
cpe210,v2,en,https://www.tp-link.com/en/support/download/cpe210/v2/,https://static.tp-link.com/TP_Pharos_V2.0_170908_CPE210_v2.0.zip
cpe210,v2,us,https://www.tp-link.com/us/support/download/cpe210/v2/,https://static.tp-link.com/2020/202012/20201204/CPE210(US)_v2.0_20201110.zip
cpe210,v2,us,https://www.tp-link.com/us/support/download/cpe210/v2/,https://static.tp-link.com/2020/202007/20200714/CPE210(US)_V2.0_2.2.2 Build 200612.zip
cpe210,v2,us,https://www.tp-link.com/us/support/download/cpe210/v2/,https://static.tp-link.com/2019/201907/20190730/CPE210(US)_V2.0_20190620.zip
cpe210,v2,de,https://www.tp-link.com/de/support/download/cpe210/v2/,https://static.tp-link.com/2018/201810/20181029/CPE210(EU)_v2.0_20180928.zip
cpe210,v2,de,https://www.tp-link.com/de/support/download/cpe210/v2/,https://static.tp-link.com/2018/201802/20180213/CPE210(EU)_V2_180117.zip
cpe210,v2,de,https://www.tp-link.com/de/support/download/cpe210/v2/,https://static.tp-link.com/TP_Pharos_V2.0_170908_CPE210_v2.0.zip
cpe210,v2,uk,https://www.tp-link.com/uk/support/download/cpe210/v2/,https://static.tp-link.com/2018/201810/20181029/CPE210(EU)_v2.0_20180928.zip
cpe210,v2,uk,https://www.tp-link.com/uk/support/download/cpe210/v2/,https://static.tp-link.com/2018/201802/20180213/CPE210(EU)_V2_180117.zip
cpe210,v2,uk,https://www.tp-link.com/uk/support/download/cpe210/v2/,https://static.tp-link.com/TP_Pharos_V2.0_170908_CPE210_v2.0.zip
cpe210,v3,au,https://www.tp-link.com/au/support/download/cpe210/v3/,https://static.tp-link.com/2020/202007/20200714/CPE210(UN)_V3.0_2.2.2 Build 200612.zip
cpe210,v3,au,https://www.tp-link.com/au/support/download/cpe210/v3/,https://static.tp-link.com/2019/201907/20190725/CPE210(UN)_V3.0_2.2.1 Build 190620.zip
cpe210,v3,au,https://www.tp-link.com/au/support/download/cpe210/v3/,https://static.tp-link.com/2019/201903/20190312/CPE210(UN)_v3.0_20190125.zip
cpe210,v3,en,https://www.tp-link.com/en/support/download/cpe210/v3/,https://static.tp-link.com/2020/202007/20200714/CPE210(UN)_V3.0_2.2.2 Build 200612.zip
cpe210,v3,en,https://www.tp-link.com/en/support/download/cpe210/v3/,https://static.tp-link.com/2019/201907/20190725/CPE210(UN)_V3.0_2.2.1 Build 190620.zip
cpe210,v3,en,https://www.tp-link.com/en/support/download/cpe210/v3/,https://static.tp-link.com/2019/201903/20190312/CPE210(UN)_v3.0_20190125.zip
cpe210,v3,us,https://www.tp-link.com/us/support/download/cpe210/v3/,https://static.tp-link.com/2020/202012/20201204/CPE210(US)_v2.0_20201110.zip
cpe210,v3,us,https://www.tp-link.com/us/support/download/cpe210/v3/,https://static.tp-link.com/2020/202007/20200714/CPE210(US)_V2.0_2.2.2 Build 200612.zip
cpe210,v3,us,https://www.tp-link.com/us/support/download/cpe210/v3/,https://static.tp-link.com/2019/201907/20190730/CPE210(US)_V2.0_20190620.zip
cpe210,v3,de,https://www.tp-link.com/de/support/download/cpe210/v3/,https://static.tp-link.com/2020/202007/20200714/CPE210(UN)_V3.0_2.2.2 Build 200612.zip
cpe210,v3,de,https://www.tp-link.com/de/support/download/cpe210/v3/,https://static.tp-link.com/2019/201907/20190725/CPE210(EU)_V3.0_2.2.1 Build 190620.zip
cpe210,v3,de,https://www.tp-link.com/de/support/download/cpe210/v3/,https://static.tp-link.com/2019/201902/20190228/CPE210(EU ES)_v3.0_20190125.zip
cpe210,v3,uk,https://www.tp-link.com/uk/support/download/cpe210/v3/,https://static.tp-link.com/2019/201907/20190725/CPE210(EU)_V3.0_2.2.1 Build 190620.zip
cpe210,v3,uk,https://www.tp-link.com/uk/support/download/cpe210/v3/,https://static.tp-link.com/2018/201810/20181029/CPE210(EU)_v3.0_20180928.zip
cpe220,v1,au,https://www.tp-link.com/au/support/download/cpe220/v1/,https://static.tp-link.com/Pharos_v2.1.6_20170908.zip
cpe220,v1,au,https://www.tp-link.com/au/support/download/cpe220/v1/,https://static.tp-link.com/Pharos_v2.1.0_170609.zip
cpe220,v1,au,https://www.tp-link.com/au/support/download/cpe220/v1/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.3.3_160705.zip
cpe220,v1,en,https://www.tp-link.com/en/support/download/cpe220/v1/,https://static.tp-link.com/Pharos_v2.1.6_20170908.zip
cpe220,v1,en,https://www.tp-link.com/en/support/download/cpe220/v1/,https://static.tp-link.com/Pharos_v2.1.0_170609.zip
cpe220,v1,en,https://www.tp-link.com/en/support/download/cpe220/v1/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.3.3_160705.zip
cpe220,v1,us,https://www.tp-link.com/us/support/download/cpe220/v1/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.3.3_160705.zip
cpe220,v1,us,https://www.tp-link.com/us/support/download/cpe220/v1/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.3.3_151215.zip
cpe220,v1,de,https://www.tp-link.com/de/support/download/cpe220/v1/,https://static.tp-link.com/Pharos_v2.1.6_20170908.zip
cpe220,v1,de,https://www.tp-link.com/de/support/download/cpe220/v1/,https://static.tp-link.com/Pharos_v2.1.0_170609.zip
cpe220,v1,uk,https://www.tp-link.com/uk/support/download/cpe220/v1/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.3.3_160705.zip
cpe220,v1,uk,https://www.tp-link.com/uk/support/download/cpe220/v1/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.3.3_151215.zip
cpe220,v2,au,https://www.tp-link.com/au/support/download/cpe220/v2/,https://static.tp-link.com/2018/201802/20180213/CPE220(UN)_V2_180117.zip
cpe220,v2,au,https://www.tp-link.com/au/support/download/cpe220/v2/,https://static.tp-link.com/TP_Pharos_V2.1.6_170908.zip
cpe220,v2,au,https://www.tp-link.com/au/support/download/cpe220/v2/,https://static.tp-link.com/Pharos_v2.1.0_170609.zip
cpe220,v2,en,https://www.tp-link.com/en/support/download/cpe220/v2/,https://static.tp-link.com/2018/201802/20180213/CPE220(UN)_V2_180117.zip
cpe220,v2,en,https://www.tp-link.com/en/support/download/cpe220/v2/,https://static.tp-link.com/TP_Pharos_V2.1.6_170908.zip
cpe220,v2,en,https://www.tp-link.com/en/support/download/cpe220/v2/,https://static.tp-link.com/Pharos_v2.1.0_170609.zip
cpe220,v2,us,https://www.tp-link.com/us/support/download/cpe220/v2/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.3.3_160705.zip
cpe220,v2,us,https://www.tp-link.com/us/support/download/cpe220/v2/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.3.3_151215.zip
cpe220,v2,de,https://www.tp-link.com/de/support/download/cpe220/v2/,https://static.tp-link.com/TP_Pharos_V2.1.6_170908.zip
cpe220,v2,de,https://www.tp-link.com/de/support/download/cpe220/v2/,https://static.tp-link.com/Pharos_v2.1.0_170609.zip
cpe220,v2,de,https://www.tp-link.com/de/support/download/cpe220/v2/,https://static.tp-link.com/TP_PharOS_2.0.0_170301-.zip
cpe220,v3,au,https://www.tp-link.com/au/support/download/cpe220/v3/,https://static.tp-link.com/2020/202007/20200714/CPE220(UN)_V3.0_2.2.2 Build 200612.zip
cpe220,v3,au,https://www.tp-link.com/au/support/download/cpe220/v3/,https://static.tp-link.com/2019/201907/20190725/CPE220(UN)_V3.0_2.2.1 Build 190620.zip
cpe220,v3,au,https://www.tp-link.com/au/support/download/cpe220/v3/,https://static.tp-link.com/2019/201904/20190411/CPE220(UN)_v3.0_20190228.zip
cpe220,v3,en,https://www.tp-link.com/en/support/download/cpe220/v3/,https://static.tp-link.com/2020/202012/20201204/CPE220(UN)_v3.0_20201028.zip
cpe220,v3,en,https://www.tp-link.com/en/support/download/cpe220/v3/,https://static.tp-link.com/2020/202007/20200714/CPE220(UN)_V3.0_2.2.2 Build 200612.zip
cpe220,v3,en,https://www.tp-link.com/en/support/download/cpe220/v3/,https://static.tp-link.com/2019/201907/20190725/CPE220(UN)_V3.0_2.2.1 Build 190620.zip
cpe220,v3,us,https://www.tp-link.com/us/support/download/cpe220/v3/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.3.3_160705.zip
cpe220,v3,us,https://www.tp-link.com/us/support/download/cpe220/v3/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.3.3_151215.zip
cpe220,v3,de,https://www.tp-link.com/de/support/download/cpe220/v3/,https://static.tp-link.com/2020/202012/20201204/CPE220(UN)_v3.0_20201028.zip
cpe220,v3,de,https://www.tp-link.com/de/support/download/cpe220/v3/,https://static.tp-link.com/2017/201712/20171221/CPE220(UN)_V3_20170825.zip
cpe510,v1,au,https://www.tp-link.com/au/support/download/cpe510/v1/,https://static.tp-link.com/Pharos_v2.1.6_20170908.zip
cpe510,v1,au,https://www.tp-link.com/au/support/download/cpe510/v1/,https://static.tp-link.com/Pharos_v2.1.0_170609.zip
cpe510,v1,au,https://www.tp-link.com/au/support/download/cpe510/v1/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.3.3_160705.zip
cpe510,v1,en,https://www.tp-link.com/en/support/download/cpe510/v1/,https://static.tp-link.com/Pharos_v2.1.6_20170908.zip
cpe510,v1,en,https://www.tp-link.com/en/support/download/cpe510/v1/,https://static.tp-link.com/Pharos_v2.1.0_170609.zip
cpe510,v1,en,https://www.tp-link.com/en/support/download/cpe510/v1/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.3.3_160705.zip
cpe510,v1,us,https://www.tp-link.com/us/support/download/cpe510/v1/,https://static.tp-link.com/Pharos_v2.1.6_20170908.zip
cpe510,v1,us,https://www.tp-link.com/us/support/download/cpe510/v1/,https://static.tp-link.com/Pharos_v2.1.0_170609.zip
cpe510,v1,us,https://www.tp-link.com/us/support/download/cpe510/v1/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.3.3_160705.zip
cpe510,v1,de,https://www.tp-link.com/de/support/download/cpe510/v1/,https://static.tp-link.com/Pharos_v2.1.6_20170908.zip
cpe510,v1,de,https://www.tp-link.com/de/support/download/cpe510/v1/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.1.0_150401.zip
cpe510,v1,de,https://www.tp-link.com/de/support/download/cpe510/v1/,https://static.tp-link.com/resources/software/TP_PharOS_1.0.0_140709.zip
cpe510,v1,uk,https://www.tp-link.com/uk/support/download/cpe510/v1/,https://static.tp-link.com/Pharos_v2.1.6_20170908.zip
cpe510,v1,uk,https://www.tp-link.com/uk/support/download/cpe510/v1/,https://static.tp-link.com/Pharos_v2.1.0_170609.zip
cpe510,v1,uk,https://www.tp-link.com/uk/support/download/cpe510/v1/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.3.3_160705.zip
cpe510,v2,au,https://www.tp-link.com/au/support/download/cpe510/v2/,https://static.tp-link.com/Pharos_v2.1.6_20170908.zip
cpe510,v2,au,https://www.tp-link.com/au/support/download/cpe510/v2/,https://static.tp-link.com/Pharos_v2.1.0_170609.zip
cpe510,v2,au,https://www.tp-link.com/au/support/download/cpe510/v2/,https://static.tp-link.com/TP_PharOS_2.0.0_170301-.zip
cpe510,v2,en,https://www.tp-link.com/en/support/download/cpe510/v2/,https://static.tp-link.com/2018/201802/20180213/CPE510(UN)_V2_180117.zip
cpe510,v2,en,https://www.tp-link.com/en/support/download/cpe510/v2/,https://static.tp-link.com/Pharos_v2.1.6_20170908.zip
cpe510,v2,en,https://www.tp-link.com/en/support/download/cpe510/v2/,https://static.tp-link.com/Pharos_v2.1.0_170609.zip
cpe510,v2,us,https://www.tp-link.com/us/support/download/cpe510/v2/,https://static.tp-link.com/2018/201802/20180213/CPE510(US)_V2_180117.zip
cpe510,v2,us,https://www.tp-link.com/us/support/download/cpe510/v2/,https://static.tp-link.com/Pharos_v2.1.6_20170908.zip
cpe510,v2,de,https://www.tp-link.com/de/support/download/cpe510/v2/,https://static.tp-link.com/2018/201802/20180213/CPE510(EU)_V2_180117.zip
