kind,lang,page_url,url
tl-wpa8630p-v2,en,https://www.tp-link.com/en/support/download/tl-wpa8630p/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630p-v2.10,en,https://www.tp-link.com/en/support/download/tl-wpa8630p/v2.10/,https://static.tp-link.com/2018/201801/20180126/TL-WPA8630P(EU&UK)_V2.1_171117.zip
tl-wpa8630p-kit-v2,en,https://www.tp-link.com/en/support/download/tl-wpa8630p-kit/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630-kit-v2,en,https://www.tp-link.com/en/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2019/201910/20191011/TL-WPA8630 KIT(EU) V2.0_190910.zip
tl-wpa8630-kit-v2,en,https://www.tp-link.com/en/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2017/201711/20171117/TL-WPA8630(UK&EU)_V2_171017.zip
tl-wpa8630-v2,ca,https://www.tp-link.com/ca/support/download/tl-wpa8630/v2/,https://static.tp-link.com/2018/201802/20180209/TL-WPA8630(CA)_V2_171107.zip
tl-wpa8630-kit-v2,ca,https://www.tp-link.com/ca/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2018/201804/20180427/TL-WPA8630(US)_V2_171011.zip
tl-wpa8630-kit-v2,ca,https://www.tp-link.com/ca/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2018/201802/20180209/TL-WPA8630(CA)_V2_171107.zip
tl-wpa8630p-v2,cl,https://www.tp-link.com/cl/support/download/tl-wpa8630p/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630p-v2.10,cl,https://www.tp-link.com/cl/support/download/tl-wpa8630p/v2.10/,https://static.tp-link.com/2018/201801/20180126/TL-WPA8630P(EU&UK)_V2.1_171117.zip
tl-wpa8630p-kit-v2,cl,https://www.tp-link.com/cl/support/download/tl-wpa8630p-kit/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630-kit-v2,latam,https://www.tp-link.com/latam/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2018/201804/20180427/TL-WPA8630(US)_V2_171011.zip
tl-wpa8630-v2,mx,https://www.tp-link.com/mx/support/download/tl-wpa8630/v2/,https://static.tp-link.com/2018/201802/20180209/TL-WPA8630(CA)_V2_171107.zip
tl-wpa8630-kit-v2,mx,https://www.tp-link.com/mx/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2019/201909/20190930/TL-WPA8630 KIT(US) V2.0_190910.zip
tl-wpa8630-kit-v2,mx,https://www.tp-link.com/mx/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2018/201802/20180209/TL-WPA8630(CA)_V2_171107.zip
tl-wpa8630-kit-v2,pe,https://www.tp-link.com/pe/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2018/201804/20180427/TL-WPA8630(US)_V2_171011.zip
tl-wpa8630-kit-v2,us,https://www.tp-link.com/us/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2018/201804/20180427/TL-WPA8630(US)_V2_171011.zip
tl-wpa8630p-v2,au,https://www.tp-link.com/au/support/download/tl-wpa8630p/v2/,https://static.tp-link.com/2018/201807/20180718/TL-WPA8630P(AU)_V2_180408.zip
tl-wpa8630p-kit-v2,au,https://www.tp-link.com/au/support/download/tl-wpa8630p-kit/v2/,https://static.tp-link.com/2018/201807/20180718/TL-WPA8630P(AU)_V2_180408.zip
tl-wpa8630p-kit-v2,au,https://www.tp-link.com/au/support/download/tl-wpa8630p-kit/v2/,https://static.tp-link.com/2017/201711/20171117/TL-WPA8630P(AU)_V2_171030.zip
tl-wpa8630p-kit-v2,au,https://www.tp-link.com/au/support/download/tl-wpa8630p-kit/v2/,https://static.tp-link.com/TL-WPA8630P KIT(AU)_V2_170608.zip
tl-wpa8630p-v2,hk,https://www.tp-link.com/hk/support/download/tl-wpa8630p/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630p-v2.10,hk,https://www.tp-link.com/hk/support/download/tl-wpa8630p/v2.10/,https://static.tp-link.com/2018/201801/20180126/TL-WPA8630P(EU&UK)_V2.1_171117.zip
tl-wpa8630p-kit-v2,hk,https://www.tp-link.com/hk/support/download/tl-wpa8630p-kit/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630-kit-v2,hk,https://www.tp-link.com/hk/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2019/201910/20191011/TL-WPA8630 KIT(EU) V2.0_190910.zip
tl-wpa8630-kit-v2,hk,https://www.tp-link.com/hk/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2017/201711/20171117/TL-WPA8630(UK&EU)_V2_171017.zip
tl-wpa8630p-v2,in,https://www.tp-link.com/in/support/download/tl-wpa8630p/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630p-v2.10,in,https://www.tp-link.com/in/support/download/tl-wpa8630p/v2.10/,https://static.tp-link.com/2018/201801/20180126/TL-WPA8630P(EU&UK)_V2.1_171117.zip
tl-wpa8630p-kit-v2,in,https://www.tp-link.com/in/support/download/tl-wpa8630p-kit/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630-kit-v2,in,https://www.tp-link.com/in/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2017/201711/20171117/TL-WPA8630(UK&EU)_V2_171017.zip
tl-wpa8630p-v2.10,my,https://www.tp-link.com/my/support/download/tl-wpa8630p/v2.10/,https://static.tp-link.com/2018/201801/20180126/TL-WPA8630P(EU&UK)_V2.1_171117.zip
tl-wpa8630-kit-v2,my,https://www.tp-link.com/my/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2017/201711/20171117/TL-WPA8630(UK&EU)_V2_171017.zip
tl-wpa8630-kit-v2,kr,https://www.tp-link.com/kr/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2019/201910/20191011/TL-WPA8630 KIT(EU) V2.0_190910.zip
tl-wpa8630-kit-v2,sg,https://www.tp-link.com/sg/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2017/201711/20171117/TL-WPA8630(UK&EU)_V2_171017.zip
tl-wpa8630-kit-v2,th,https://www.tp-link.com/th/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2018/201804/20180427/TL-WPA8630(US)_V2_171011.zip
tl-wpa8630-kit-v2,th,https://www.tp-link.com/th/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2017/201711/20171117/TL-WPA8630(UK&EU)_V2_171017.zip
tl-wpa8630p-v2,baltic,https://www.tp-link.com/baltic/support/download/tl-wpa8630p/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630p-v2.10,baltic,https://www.tp-link.com/baltic/support/download/tl-wpa8630p/v2.10/,https://static.tp-link.com/2018/201801/20180126/TL-WPA8630P(EU&UK)_V2.1_171117.zip
tl-wpa8630p-kit-v2,baltic,https://www.tp-link.com/baltic/support/download/tl-wpa8630p-kit/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630-kit-v2,baltic,https://www.tp-link.com/baltic/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2017/201711/20171117/TL-WPA8630(UK&EU)_V2_171017.zip
tl-wpa8630p-v2,nl-be,https://www.tp-link.com/nl-be/support/download/tl-wpa8630p/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630p-v2.10,nl-be,https://www.tp-link.com/nl-be/support/download/tl-wpa8630p/v2.10/,https://static.tp-link.com/2018/201801/20180126/TL-WPA8630P(EU&UK)_V2.1_171117.zip
tl-wpa8630p-kit-v2,nl-be,https://www.tp-link.com/nl-be/support/download/tl-wpa8630p-kit/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630-kit-v2,nl-be,https://www.tp-link.com/nl-be/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2019/201910/20191011/TL-WPA8630 KIT(EU) V2.0_190910.zip
tl-wpa8630-kit-v2,nl-be,https://www.tp-link.com/nl-be/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2017/201711/20171117/TL-WPA8630(UK&EU)_V2_171017.zip
tl-wpa8630p-v2,bg,https://www.tp-link.com/bg/support/download/tl-wpa8630p/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630p-v2.10,bg,https://www.tp-link.com/bg/support/download/tl-wpa8630p/v2.10/,https://static.tp-link.com/2018/201801/20180126/TL-WPA8630P(EU&UK)_V2.1_171117.zip
tl-wpa8630p-kit-v2,bg,https://www.tp-link.com/bg/support/download/tl-wpa8630p-kit/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630-kit-v2,bg,https://www.tp-link.com/bg/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2019/201910/20191011/TL-WPA8630 KIT(EU) V2.0_190910.zip
tl-wpa8630-kit-v2,bg,https://www.tp-link.com/bg/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2017/201711/20171117/TL-WPA8630(UK&EU)_V2_171017.zip
tl-wpa8630p-v2,cz,https://www.tp-link.com/cz/support/download/tl-wpa8630p/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630p-v2.10,cz,https://www.tp-link.com/cz/support/download/tl-wpa8630p/v2.10/,https://static.tp-link.com/2018/201801/20180126/TL-WPA8630P(EU&UK)_V2.1_171117.zip
tl-wpa8630p-kit-v2,cz,https://www.tp-link.com/cz/support/download/tl-wpa8630p-kit/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630-kit-v2,cz,https://www.tp-link.com/cz/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2019/201910/20191011/TL-WPA8630 KIT(EU) V2.0_190910.zip
tl-wpa8630-kit-v2,cz,https://www.tp-link.com/cz/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2017/201711/20171117/TL-WPA8630(UK&EU)_V2_171017.zip
tl-wpa8630p-v2.10,dk,https://www.tp-link.com/dk/support/download/tl-wpa8630p/v2.10/,https://static.tp-link.com/2018/201801/20180126/TL-WPA8630P(EU&UK)_V2.1_171117.zip
tl-wpa8630-kit-v2,dk,https://www.tp-link.com/dk/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2019/201910/20191011/TL-WPA8630 KIT(EU) V2.0_190910.zip
tl-wpa8630-kit-v2,dk,https://www.tp-link.com/dk/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2017/201711/20171117/TL-WPA8630(UK&EU)_V2_171017.zip
tl-wpa8630p-v2,fi,https://www.tp-link.com/fi/support/download/tl-wpa8630p/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630p-v2.10,fi,https://www.tp-link.com/fi/support/download/tl-wpa8630p/v2.10/,https://static.tp-link.com/2018/201801/20180126/TL-WPA8630P(EU&UK)_V2.1_171117.zip
tl-wpa8630p-kit-v2,fi,https://www.tp-link.com/fi/support/download/tl-wpa8630p-kit/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630-kit-v2,fi,https://www.tp-link.com/fi/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2019/201910/20191011/TL-WPA8630 KIT(EU) V2.0_190910.zip
tl-wpa8630-kit-v2,fi,https://www.tp-link.com/fi/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2017/201711/20171117/TL-WPA8630(UK&EU)_V2_171017.zip
tl-wpa8630p-v2,fr,https://www.tp-link.com/fr/support/download/tl-wpa8630p/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630p-v2.10,fr,https://www.tp-link.com/fr/support/download/tl-wpa8630p/v2.10/,https://static.tp-link.com/2018/201801/20180126/TL-WPA8630P(EU&UK)_V2.1_171117.zip
tl-wpa8630p-kit-v2,fr,https://www.tp-link.com/fr/support/download/tl-wpa8630p-kit/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630-kit-v2,fr,https://www.tp-link.com/fr/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2019/201910/20191011/TL-WPA8630 KIT(EU) V2.0_190910.zip
tl-wpa8630-kit-v2,fr,https://www.tp-link.com/fr/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2017/201711/20171117/TL-WPA8630(UK&EU)_V2_171017.zip
tl-wpa8630p-v2,de,https://www.tp-link.com/de/support/download/tl-wpa8630p/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630p-v2.10,de,https://www.tp-link.com/de/support/download/tl-wpa8630p/v2.10/,https://static.tp-link.com/2018/201801/20180126/TL-WPA8630P(EU&UK)_V2.1_171117.zip
tl-wpa8630p-kit-v2,de,https://www.tp-link.com/de/support/download/tl-wpa8630p-kit/v2/,https://static.tp-link.com/2017/201711/20171117/TL-WPA8630P(DE)_V2_171020.zip
tl-wpa8630p-kit-v2,de,https://www.tp-link.com/de/support/download/tl-wpa8630p-kit/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
