kind,lang,page_url,url
tl-wpa8630-kit-v2,de,https://www.tp-link.com/de/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2017/201711/20171117/TL-WPA8630(UK&EU)_V2_171017.zip
tl-wpa8630p-v2,gr,https://www.tp-link.com/gr/support/download/tl-wpa8630p/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630p-v2.10,gr,https://www.tp-link.com/gr/support/download/tl-wpa8630p/v2.10/,https://static.tp-link.com/2018/201801/20180126/TL-WPA8630P(EU&UK)_V2.1_171117.zip
tl-wpa8630p-kit-v2,gr,https://www.tp-link.com/gr/support/download/tl-wpa8630p-kit/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630-kit-v2,gr,https://www.tp-link.com/gr/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2019/201910/20191011/TL-WPA8630 KIT(EU) V2.0_190910.zip
tl-wpa8630-kit-v2,gr,https://www.tp-link.com/gr/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2017/201711/20171117/TL-WPA8630(UK&EU)_V2_171017.zip
tl-wpa8630p-v2.10,hu,https://www.tp-link.com/hu/support/download/tl-wpa8630p/v2.10/,https://static.tp-link.com/2018/201801/20180126/TL-WPA8630P(EU&UK)_V2.1_171117.zip
tl-wpa8630-kit-v2,hu,https://www.tp-link.com/hu/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2019/201910/20191011/TL-WPA8630 KIT(EU) V2.0_190910.zip
tl-wpa8630p-v2,it,https://www.tp-link.com/it/support/download/tl-wpa8630p/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630p-v2.10,it,https://www.tp-link.com/it/support/download/tl-wpa8630p/v2.10/,https://static.tp-link.com/2018/201801/20180126/TL-WPA8630P(EU&UK)_V2.1_171117.zip
tl-wpa8630p-kit-v2,it,https://www.tp-link.com/it/support/download/tl-wpa8630p-kit/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630-kit-v2,it,https://www.tp-link.com/it/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2019/201910/20191011/TL-WPA8630 KIT(EU) V2.0_190910.zip
tl-wpa8630p-v2,nl,https://www.tp-link.com/nl/support/download/tl-wpa8630p/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630p-v2.10,nl,https://www.tp-link.com/nl/support/download/tl-wpa8630p/v2.10/,https://static.tp-link.com/2018/201801/20180126/TL-WPA8630P(EU&UK)_V2.1_171117.zip
tl-wpa8630p-kit-v2,nl,https://www.tp-link.com/nl/support/download/tl-wpa8630p-kit/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630-kit-v2,nl,https://www.tp-link.com/nl/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2019/201910/20191011/TL-WPA8630 KIT(EU) V2.0_190910.zip
tl-wpa8630-kit-v2,nl,https://www.tp-link.com/nl/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2017/201711/20171117/TL-WPA8630(UK&EU)_V2_171017.zip
tl-wpa8630p-v2,no,https://www.tp-link.com/no/support/download/tl-wpa8630p/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630p-v2.10,no,https://www.tp-link.com/no/support/download/tl-wpa8630p/v2.10/,https://static.tp-link.com/2018/201801/20180126/TL-WPA8630P(EU&UK)_V2.1_171117.zip
tl-wpa8630p-kit-v2,no,https://www.tp-link.com/no/support/download/tl-wpa8630p-kit/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630-kit-v2,no,https://www.tp-link.com/no/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2019/201910/20191011/TL-WPA8630 KIT(EU) V2.0_190910.zip
tl-wpa8630-kit-v2,no,https://www.tp-link.com/no/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2017/201711/20171117/TL-WPA8630(UK&EU)_V2_171017.zip
tl-wpa8630p-v2,pl,https://www.tp-link.com/pl/support/download/tl-wpa8630p/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630p-v2.10,pl,https://www.tp-link.com/pl/support/download/tl-wpa8630p/v2.10/,https://static.tp-link.com/2018/201801/20180126/TL-WPA8630P(EU&UK)_V2.1_171117.zip
tl-wpa8630p-kit-v2,pl,https://www.tp-link.com/pl/support/download/tl-wpa8630p-kit/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630-kit-v2,pl,https://www.tp-link.com/pl/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2019/201910/20191011/TL-WPA8630 KIT(EU) V2.0_190910.zip
tl-wpa8630-kit-v2,pl,https://www.tp-link.com/pl/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2017/201711/20171117/TL-WPA8630(UK&EU)_V2_171017.zip
tl-wpa8630p-v2,pt,https://www.tp-link.com/pt/support/download/tl-wpa8630p/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630p-v2.10,pt,https://www.tp-link.com/pt/support/download/tl-wpa8630p/v2.10/,https://static.tp-link.com/2018/201801/20180126/TL-WPA8630P(EU&UK)_V2.1_171117.zip
tl-wpa8630p-kit-v2,pt,https://www.tp-link.com/pt/support/download/tl-wpa8630p-kit/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630-kit-v2,pt,https://www.tp-link.com/pt/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2019/201910/20191011/TL-WPA8630 KIT(EU) V2.0_190910.zip
tl-wpa8630-kit-v2,pt,https://www.tp-link.com/pt/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2017/201711/20171117/TL-WPA8630(UK&EU)_V2_171017.zip
tl-wpa8630p-v2,ro,https://www.tp-link.com/ro/support/download/tl-wpa8630p/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630p-v2.10,ro,https://www.tp-link.com/ro/support/download/tl-wpa8630p/v2.10/,https://static.tp-link.com/2018/201801/20180126/TL-WPA8630P(EU&UK)_V2.1_171117.zip
tl-wpa8630p-kit-v2,ro,https://www.tp-link.com/ro/support/download/tl-wpa8630p-kit/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630-kit-v2,ro,https://www.tp-link.com/ro/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2019/201910/20191011/TL-WPA8630 KIT(EU) V2.0_190910.zip
tl-wpa8630-kit-v2,ro,https://www.tp-link.com/ro/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2017/201711/20171117/TL-WPA8630(UK&EU)_V2_171017.zip
tl-wpa8630p-v2,es,https://www.tp-link.com/es/support/download/tl-wpa8630p/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630p-kit-v2,es,https://www.tp-link.com/es/support/download/tl-wpa8630p-kit/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630-kit-v2,es,https://www.tp-link.com/es/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2019/201910/20191011/TL-WPA8630 KIT(EU) V2.0_190910.zip
tl-wpa8630-kit-v2,es,https://www.tp-link.com/es/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2017/201711/20171117/TL-WPA8630(UK&EU)_V2_171017.zip
tl-wpa8630p-v2,se,https://www.tp-link.com/se/support/download/tl-wpa8630p/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630p-v2.10,se,https://www.tp-link.com/se/support/download/tl-wpa8630p/v2.10/,https://static.tp-link.com/2018/201801/20180126/TL-WPA8630P(EU&UK)_V2.1_171117.zip
tl-wpa8630p-kit-v2,se,https://www.tp-link.com/se/support/download/tl-wpa8630p-kit/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630-kit-v2,se,https://www.tp-link.com/se/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2019/201910/20191011/TL-WPA8630 KIT(EU) V2.0_190910.zip
tl-wpa8630-kit-v2,se,https://www.tp-link.com/se/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2017/201711/20171117/TL-WPA8630(UK&EU)_V2_171017.zip
tl-wpa8630p-v2,tr,https://www.tp-link.com/tr/support/download/tl-wpa8630p/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630p-v2.10,tr,https://www.tp-link.com/tr/support/download/tl-wpa8630p/v2.10/,https://static.tp-link.com/2018/201801/20180126/TL-WPA8630P(EU&UK)_V2.1_171117.zip
tl-wpa8630p-kit-v2,tr,https://www.tp-link.com/tr/support/download/tl-wpa8630p-kit/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630-v2,tr,https://www.tp-link.com/tr/support/download/tl-wpa8630/v2/,https://static.tp-link.com/2018/201802/20180209/TL-WPA8630(CA)_V2_171107.zip
tl-wpa8630-kit-v2,tr,https://www.tp-link.com/tr/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2018/201802/20180209/TL-WPA8630(CA)_V2_171107.zip
tl-wpa8630-kit-v2,tr,https://www.tp-link.com/tr/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2017/201711/20171117/TL-WPA8630(UK&EU)_V2_171017.zip
tl-wpa8630p-v2,uk,https://www.tp-link.com/uk/support/download/tl-wpa8630p/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630p-v2.10,uk,https://www.tp-link.com/uk/support/download/tl-wpa8630p/v2.10/,https://static.tp-link.com/2018/201801/20180126/TL-WPA8630P(EU&UK)_V2.1_171117.zip
tl-wpa8630p-kit-v2,uk,https://www.tp-link.com/uk/support/download/tl-wpa8630p-kit/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630p-v2,il,https://www.tp-link.com/il/support/download/tl-wpa8630p/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630p-v2.10,il,https://www.tp-link.com/il/support/download/tl-wpa8630p/v2.10/,https://static.tp-link.com/2018/201801/20180126/TL-WPA8630P(EU&UK)_V2.1_171117.zip
tl-wpa8630p-kit-v2,il,https://www.tp-link.com/il/support/download/tl-wpa8630p-kit/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630-kit-v2,il,https://www.tp-link.com/il/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2017/201711/20171117/TL-WPA8630(UK&EU)_V2_171017.zip
tl-wpa8630p-v2.10,lb,https://www.tp-link.com/lb/support/download/tl-wpa8630p/v2.10/,https://static.tp-link.com/2018/201801/20180126/TL-WPA8630P(EU&UK)_V2.1_171117.zip
tl-wpa8630p-v2,pk,https://www.tp-link.com/pk/support/download/tl-wpa8630p/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630p-v2.10,pk,https://www.tp-link.com/pk/support/download/tl-wpa8630p/v2.10/,https://static.tp-link.com/2018/201801/20180126/TL-WPA8630P(EU&UK)_V2.1_171117.zip
tl-wpa8630p-kit-v2,pk,https://www.tp-link.com/pk/support/download/tl-wpa8630p-kit/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630-kit-v2,pk,https://www.tp-link.com/pk/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2019/201910/20191011/TL-WPA8630 KIT(EU) V2.0_190910.zip
tl-wpa8630-kit-v2,pk,https://www.tp-link.com/pk/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2017/201711/20171117/TL-WPA8630(UK&EU)_V2_171017.zip
tl-wpa8630p-v2,za,https://www.tp-link.com/za/support/download/tl-wpa8630p/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630p-kit-v2,za,https://www.tp-link.com/za/support/download/tl-wpa8630p-kit/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630-kit-v2,za,https://www.tp-link.com/za/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2017/201711/20171117/TL-WPA8630(UK&EU)_V2_171017.zip
tl-wpa8630p-v2,ae,https://www.tp-link.com/ae/support/download/tl-wpa8630p/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630p-v2.10,ae,https://www.tp-link.com/ae/support/download/tl-wpa8630p/v2.10/,https://static.tp-link.com/2018/201801/20180126/TL-WPA8630P(EU&UK)_V2.1_171117.zip
tl-wpa8630p-kit-v2,ae,https://www.tp-link.com/ae/support/download/tl-wpa8630p-kit/v2/,https://static.tp-link.com/2017/201711/20171123/TL-WPA8630P(EU)_V2_171018.zip
tl-wpa8630-kit-v2,ae,https://www.tp-link.com/ae/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2019/201910/20191011/TL-WPA8630 KIT(EU) V2.0_190910.zip
tl-wpa8630-kit-v2,ae,https://www.tp-link.com/ae/support/download/tl-wpa8630-kit/v2/,https://static.tp-link.com/2017/201711/20171117/TL-WPA8630(UK&EU)_V2_171017.zip
